Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 10,166687,NAPA FLOATHER CLASSIC NEO 1.45(ACT P/V 22/23)+VELVET 0.50,,15758,PRETO 01/PRETO 01,,-1.969,0.00000,nacional
Mini Fabrica - 10,168353,FILME PVC AUSTRALIA 0.60MM(ACT P/V 21/22)+FILME FA7300 100 MICRAS,,106717,IRON 1452,,-0.362,0.00000,nacional
Mini Fabrica - 10,170196,NYLON FREE SPORT+DUPLAFRONTURA SPACER SOLAR STR XX I8U 245G,,101082,AREIA 1137/BRANCO,,-1.976,0.00000,nacional
Mini Fabrica - 10,172896,NAPA BERLIM PU 1.2+TECIDO LECCE,,84081,CAFE 987/PRETO 01,,-176.179,0.00000,nacional
Mini Fabrica - 10,187352,NAPA FLOATHER VENEZIA PU 0.9 (MD O/I 25)+VELVET,,36126,BRANCO OFF 526/CREME 516,,-20.0,0.00000,nacional
Mini Fabrica - 10,187571,"TECIDO XANGAI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,103332,CHUMBO 1321/CINZA/PRETO 01,,-47.381,0.00000,nacional
Mini Fabrica - 10,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-19.675,0.00000,nacional
Mini Fabrica - 10,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,96142,CAMEL 1165/BISCOITO,,-8.474,0.00000,nacional
Mini Fabrica - 10,188721,"TECIDO MARAGOGI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,32908,PRETO 01/CINZA/PRETO 01,,-2.816,0.00000,nacional
Mini Fabrica - 10,188721,"TECIDO MARAGOGI(ACT 0/I 25)+ ESPUMA D23 2,5MM + TECIDO MEIA MALHA 100GR",,93368,MARINHO 1128/CINZA/PRETO 01,,-4.216,0.00000,nacional
Mini Fabrica - 10,192017,CAMURCAO LONDON PU 1.2(M O/I 2016)+TECIDO VELVET,,15758,PRETO 01/PRETO 01,,-0.322,0.00000,nacional
Mini Fabrica - 10,192734,TECIDO XANGAI(ACT O/I 25)+SARJA 7030/50,,15758,PRETO 01/PRETO 01,,-106.104,0.00000,nacional
Mini Fabrica - 10,201688,TECIDO GAIA (ACT O/I25),,16072,BRANCO 99,,-0.358,0.00000,nacional
Mini Fabrica - 10,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,16143,PRETO 01/PRETO 01/PRETO 01,,-18.056,0.00000,nacional
Mini Fabrica - 10,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,93518,MARINHO 1128/PRETO/PRETO,,-2.784,0.00000,nacional
Mini Fabrica - 10,202295,NAPA MICRO PERFUROS GALY P.U 1.0 (MD P/V 23/24)+CACHAREL SOFT,,29693,BEGE 435/BEGE 435,,-0.972,0.00000,nacional
Mini Fabrica - 10,204119,NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17)+FILME SC 50,,16072,BRANCO 99,,-1.434,0.00000,nacional
Mini Fabrica - 10,204339,TECIDO GAIA (ACT O/I25)+VELVET 0.50,,66355,CAMEL 778/CAPUCCINO,,-16.472,0.00000,nacional
Mini Fabrica - 16,25567,AVESSO VELUR,,3,PRETO,,-27.767,0.00000,nacional
Mini Fabrica - 16,92871,MALHA ADTERM MA 140P CONFORFLEX 650C,,23654,CRU 20,,-0.964,0.00000,nacional
Mini Fabrica - 16,93492,NYLON FREE SPORT (B P/V 17/18)+BASE FLEX 1.0,,37331,BRANCO OFF 526/BISCOITO,,-11.993,0.00000,nacional
Mini Fabrica - 16,101702,NAPA TURIM PU 1.0 (B P/V 15/16)+FILME TACK 40GR,,15745,PRETO 01,,-5.048,0.00000,nacional
Mini Fabrica - 16,101702,NAPA TURIM PU 1.0 (B P/V 15/16)+FILME TACK 40GR,,35312,BRANCO OFF 526,,-9.802,0.00000,nacional
Mini Fabrica - 16,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2019),,89673,TAN 1080,,-1.353,0.00000,nacional
Mini Fabrica - 16,140345,NAPA BERLIM PU 1.2- IMPORTADO,,100196,AVELA 1248,,-7.428,0.00000,nacional
Mini Fabrica - 16,162659,NAPA GENEBRA PU 1.2 (B O/I 2020)+CACHAREL SOFT,,73437,CAFE 856/PRETO 01,,-12.166,0.00000,nacional
Mini Fabrica - 16,168873,NAPA CALF PU 0.9 ( P/V 24/25),,107613,TERRACOTA 1477,,-5.4,0.00000,nacional
Mini Fabrica - 16,184017,NAPA GARDA PU 1.0 (V P/V 24/25)+TECIDO VELVET,,101646,CHOCOLATE 1271/PRETO,,-4.51,0.00000,nacional
Mini Fabrica - 16,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-11.88,0.00000,nacional
Mini Fabrica - 16,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,96142,CAMEL 1165/BISCOITO,,-1.98,0.00000,nacional
Mini Fabrica - 16,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,107628,OLIVE 1469/BISCOITO,,-0.66,0.00000,nacional
Mini Fabrica - 16,193461,BRILHO ITALIA PU 0.9 +FILME TACK 40 GR,,104337,BRONZE 1402,,-0.836,0.00000,nacional
Mini Fabrica - 16,195421,METALIZADO FLOATHER VENEZIA PU 0.9+VELVET+FORRO SOFT CONFORTO PU 0.7,,88632,DOURADO/CREME 516/BEGE 435,,-3.93,0.00000,nacional
Mini Fabrica - 16,195710,CAMURCAO LONDON PU 1.2 (V O/I 25)-IMPORTADO+FILME TACK 40GR,,101439,CACAU 1277,,-12.199,0.00000,nacional
Mini Fabrica - 16,195710,CAMURCAO LONDON PU 1.2 (V O/I 25)-IMPORTADO+FILME TACK 40GR,,106596,CARAMELO 1450,,-3.813,0.00000,nacional
Mini Fabrica - 16,196091,CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO+BASE FLEX,,101724,CACAU 1277/PRETO,,-66.473,0.00000,nacional
Mini Fabrica - 16,202643,NAPA SOFT MADRI PU 1.0 (V O/I 23/24)+BASE FLEX,,15787,PRETO 01/PRETO,,-0.81,0.00000,nacional
Mini Fabrica - 20,56577,FORRO MILANO PU 0.7(B O/I 2014),,107610,OLIVE 1469,,-2.724,0.00000,nacional
Mini Fabrica - 20,64664,FORRO FACHETE PVC 0.8 (B O/I 2015),,15745,PRETO 01,,-4.084,0.00000,nacional
Mini Fabrica - 20,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,83517,CREME 985,,-18.402,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,40278,BRANCO OFF 526/BRANCO 15/NATURAL,,-0.07,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,96674,CAMEL 1165/BRANCO 15/NATURAL,,-2.402,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,101878,CHOCOLATE 1271/PRETO 01/PRETO,,-0.181,0.00000,nacional
Mini Fabrica - 20,74934,NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7,,108445,OLIVE 1469/BRANCO 15/NATURAL,,-0.586,0.00000,nacional
Mini Fabrica - 20,82290,GLITER MINI SHINE(M/MK O/I 17),,41,PRATA,,-8.093,0.00000,nacional
Mini Fabrica - 20,82290,GLITER MINI SHINE(M/MK O/I 17),,23146,OURO ROSADO,,-4.494,0.00000,nacional
Mini Fabrica - 20,135523,NAPA GENEBRA PU 1.2 (B O/I 2020) - IMPORTADO,,72374,CAFE 856,,-10.454,0.00000,nacional
Mini Fabrica - 20,140206,NAPA FLOATHER ZURIQUE PU 1.2- IMPORTADO,,15745,PRETO 01,,-12.858,0.00000,nacional
Mini Fabrica - 20,140345,NAPA BERLIM PU 1.2- IMPORTADO,,15745,PRETO 01,,-10.506,0.00000,nacional
Mini Fabrica - 20,140345,NAPA BERLIM PU 1.2- IMPORTADO,,83508,CAFE 987,,-9.624,0.00000,nacional
Mini Fabrica - 20,172898,NAPA FLOATHER ZURIQUE PU 1.2+TECIDO LECCE,,95740,CARAMELO 1170/CREME 516,,-21.012,0.00000,nacional
Mini Fabrica - 20,190938,NAPA TURIM CROCO MILAO PU 1.0 (B P/V 24/25),,15745,PRETO 01,,-1.5,0.00000,nacional
Mini Fabrica - 20,195460,NAPA TRAME GRECIA PU 0.9 (B P/V 24/25)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-5.076,0.00000,nacional
Mini Fabrica - 24,81298,NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17),,35312,BRANCO OFF 526,,-0.144,0.00000,nacional
Mini Fabrica - 24,170822,NAPA MOSCOU NEO 1.2 (BRS O/I25) + BASE FLEX 1.0,,15787,PRETO 01/PRETO,,-0.664,0.00000,nacional
Mini Fabrica - 24,172591,NOBUCK LISBOA PU 0.9 ( V PV 24/25)+TECIDO VELVET,,41492,BEGE 435/CREME 516,,-0.05,0.00000,nacional
Mini Fabrica - 24,192842,BRILHO ITALIA PU 0.9 (P/V 25/26)+BASE FLEX,,34788,DOURADO/BISCOITO,,-17.42,0.00000,nacional
