Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 40,184004,NAPA GARDA PU 1.0 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,108445,OLIVE 1469/BRANCO 15/NATURAL,,-1.966,0.00000,nacional
Mini Fabrica - 40,184017,NAPA GARDA PU 1.0 (V P/V 24/25)+TECIDO VELVET,,107769,TERRACOTA 1477/CREME 516,,-18.58,0.00000,nacional
Mini Fabrica - 40,196770,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25),,96942,MULTI CAMEL 1165,,-0.324,0.00000,nacional
Mini Fabrica - 40,197406,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+VELVET,,96673,MULTI CAMEL 1165/PRETO,,-0.406,0.00000,nacional
Mini Fabrica - 43,92871,MALHA ADTERM MA 140P CONFORFLEX 650C,,23654,CRU 20,,-6.779,0.00000,nacional
Mini Fabrica - 43,94157,NAPA TURIM PU 1.0+VELVET,,106143,OSTRA 1431/CREME 516,,-6.086,0.00000,nacional
Mini Fabrica - 43,184004,NAPA GARDA PU 1.0 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,101878,CHOCOLATE 1271/PRETO 01/PRETO 01,,-4.581,0.00000,nacional
Mini Fabrica - 43,187654,NAPA GARDA PU 1.0 (V P/V 24/25)+BASE FLEX,,37331,BRANCO OFF 526/BISCOITO,,-9.477,0.00000,nacional
Mini Fabrica - 43,192017,CAMURCAO LONDON PU 1.2(M O/I 2016)+TECIDO VELVET,,101724,CACAU 1277/PRETO,,-42.72,0.00000,nacional
Mini Fabrica - 43,192017,CAMURCAO LONDON PU 1.2(M O/I 2016)+TECIDO VELVET,,107133,CARAMELO 1450/CREME 516,,-10.98,0.00000,nacional
Mini Fabrica - 43,193245,NAPA TURIM CROCO MILAO PU 1.0 (B P/V 24/25)+VELVET,,95701,CAMEL 1165/CREME 516,,-19.531,0.00000,nacional
Mini Fabrica - 43,195460,NAPA TRAME GRECIA PU 0.9 (B P/V 24/25)+BASE FLEX,,96142,CAMEL 1165/BISCOITO,,-0.809,0.00000,nacional
Mini Fabrica - 43,196639,NAPA VELUNA 0.9 (MD O/I 26) - IMPORTADO+ SARJA 7030/40,,107559,CASTANHO 1455/CRU 20,,-2.063,0.00000,nacional
Mini Fabrica - 43,197280,CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO.,,106596,CARAMELO 1450,,-6.992,0.00000,nacional
Mini Fabrica - 43,205224,GLITER MINI SHINE(M/MK O/I 17)+SARJA 7030/40.,,23801,OURO ROSADO/CRU 20,,-19.857,0.00000,nacional
Mini Fabrica - 50,56577,FORRO MILANO PU 0.7(B O/I 2014),,35312,BRANCO OFF 526,,-1.113,0.00000,nacional
Mini Fabrica - 50,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,83517,CREME 985,,-8.562,0.00000,nacional
Mini Fabrica - 50,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,100983,VERDE LUNA 1256,,-0.563,0.00000,nacional
Mini Fabrica - 50,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,105828,CORAL 1435,,-1.706,0.00000,nacional
Mini Fabrica - 50,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,107610,OLIVE 1469,,-2.375,0.00000,nacional
Mini Fabrica - 50,128938,NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21),,95373,CAMEL 1165,,-3.668,0.00000,nacional
Mini Fabrica - 50,140345,NAPA BERLIM PU 1.2- IMPORTADO,,83508,CAFE 987,,-5.59,0.00000,nacional
Mini Fabrica - 50,163149,NAPA SOFT MADRI PU 1.0 (V O/I 23/24),,107610,OLIVE 1469,,-0.058,0.00000,nacional
Mini Fabrica - 50,172773,NOBUCK ULTRA SOFT PU 0.8 (MD O/I 25) IMPORTACAO,,83517,CREME 985,,-7.806,0.00000,nacional
Mini Fabrica - 50,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,101321,CHOCOLATE 1271,,-37.256,0.00000,nacional
Mini Fabrica - 50,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,105704,OSTRA 1431,,-4.837,0.00000,nacional
Mini Fabrica - 50,196770,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25),,96942,MULTI CAMEL 1165,,-0.154,0.00000,nacional
Mini Fabrica - 50,197280,CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO.,,106596,CARAMELO 1450,,-23.669,0.00000,nacional
Mini Fabrica - 68,86583,VERNIZ PREMIUM PU 1.0+POLINYLON 11 HM 2L+FORRO MILANO PU,,53607,NUDE 658/BRANCO 15/NATURAL,,-7.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98070,GRAFITE 1223/BRANCO 99- VIOLETA 1221- GRAFITE 1223,1,-72.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98070,GRAFITE 1223/BRANCO 99- VIOLETA 1221- GRAFITE 1223,2,-140.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98070,GRAFITE 1223/BRANCO 99- VIOLETA 1221- GRAFITE 1223,3,-80.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98070,GRAFITE 1223/BRANCO 99- VIOLETA 1221- GRAFITE 1223,4,-12.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98071,BRANCO 99/PEACH 1216- VIOLETA 1221- BRANCO 99,2,-61.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98072,PRETO 01/BRANCO 99-PRETO 01-BRANCO 99,1,-123.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98072,PRETO 01/BRANCO 99-PRETO 01-BRANCO 99,2,-229.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98072,PRETO 01/BRANCO 99-PRETO 01-BRANCO 99,3,-127.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,98072,PRETO 01/BRANCO 99-PRETO 01-BRANCO 99,4,-21.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,101077,BRANCO OFF1 1132/BEGE 1174- AREIA 1137-BEGE 1174,,-65.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,101077,BRANCO OFF2 1132/BEGE 1174- AREIA 1137-BEGE 1174,,-104.0,0.00000,nacional
Mini Fabrica - 68,166846,PECA TRAS+VISTA+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4842.101,PAR,101077,BRANCO OFF3 1132/BEGE 1174- AREIA 1137-BEGE 1174,,-39.0,0.00000,nacional
Mini Fabrica - 68,172315,PECA TRAS EXT+ETIQ IMPRESSAO ACTVITTA(NP FLOT RUST)L.4914.220,PAR,100093,PRETO 01/GRAFITE 989- CINZA 1240,1,-10.0,0.00000,nacional
Mini Fabrica - 68,184731,PECA ETIQUETA+IMPRESSAO ACTVITTA(PVC AUSTRALIA L.4836.113,PAR,104694,PRETO 01/PRATA 1320,0,-349.0,0.00000,nacional
Mini Fabrica - 68,186850,PECA DET+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4853.100(ACT 0/I 25),PAR,107716,CHUMBO 1321/ROSA ANTIGO 1329,3,-25.0,0.00000,nacional
Mini Fabrica - 68,186850,PECA DET+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4853.100(ACT 0/I 25),PAR,107716,CHUMBO 1321/ROSA ANTIGO 1329,4,-18.0,0.00000,nacional
Mini Fabrica - 68,186850,PECA DET+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4853.100(ACT 0/I 25),PAR,109942,HIBISCO 1496/BRANCO 99,2,-3.0,0.00000,nacional
Mini Fabrica - 68,186850,PECA DET+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4853.100(ACT 0/I 25),PAR,109942,HIBISCO 1496/BRANCO 99,3,-6.0,0.00000,nacional
Mini Fabrica - 68,186850,PECA DET+IMPRESSAO ACTVITTA(FILME AUSTRALIA)L.4853.100(ACT 0/I 25),PAR,109942,HIBISCO 1496/BRANCO 99,4,-3.0,0.00000,nacional
Mini Fabrica - 68,190730,PECA VISTA LAT EXT IMPRESSAO ACTVITTA(NP FLOT RUST NEO+TACK)L.4829.527,PAR,104701,COBALTO 1319/TURQUESA 1315- VIOLETA 1221,1,-128.0,0.00000,nacional
Mini Fabrica - 68,190730,PECA VISTA LAT EXT IMPRESSAO ACTVITTA(NP FLOT RUST NEO+TACK)L.4829.527,PAR,104701,COBALTO 1319/TURQUESA 1315- VIOLETA 1221,2,-457.0,0.00000,nacional
Mini Fabrica - 68,190730,PECA VISTA LAT EXT IMPRESSAO ACTVITTA(NP FLOT RUST NEO+TACK)L.4829.527,PAR,104701,COBALTO 1319/TURQUESA 1315- VIOLETA 1221,3,-422.0,0.00000,nacional
Mini Fabrica - 68,196153,PECA VISTA+LATERAL IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4946.101,PAR,107408,PRETO 01/CORAL NEON 957- CHUMBO 1321,1,-24.0,0.00000,nacional
Mini Fabrica - 68,196153,PECA VISTA+LATERAL IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4946.101,PAR,107408,PRETO 01/CORAL NEON 957- CHUMBO 1321,2,-51.0,0.00000,nacional
Mini Fabrica - 68,196366,PECA VISTA+LAT.+ET. IMPRESSAO ACTVITTA (PVC AUSTRALIA)L.4829.331,PAR,107483,PRETO 01/VIOLETA 1221- TURQUESA 1315,1,-5.0,0.00000,nacional
Mini Fabrica - 68,196484,PECA VISTA IMPRESSAO ACTVITTA (PVC AUSTRALIA)L.4853.108,PAR,104361,PRETO 01/TURQUESA 1315- VIOLETA 1221,4,-12.0,0.00000,nacional
Mini Fabrica - 68,201729,PECA LATERAL IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4853.109,PAR,103671,CHUMBO 1321/PRETO 01,0,-284.0,0.00000,nacional
Mini Fabrica - 68,201729,PECA LATERAL IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4853.109,PAR,108584,CAMEL 778/BRANCO OFF 1132,0,-152.0,0.00000,nacional
Mini Fabrica - 68,201729,PECA LATERAL IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4853.109,PAR,109008,BRANCO OFF 1132/HIBISCO 1496,,-32.0,0.00000,nacional
Mini Fabrica - 69,184731,PECA ETIQUETA+IMPRESSAO ACTVITTA(PVC AUSTRALIA L.4836.113,PAR,21007,BRANCO 99/PRETO 01,0,-6.0,0.00000,nacional
Mini Fabrica - 69,184731,PECA ETIQUETA+IMPRESSAO ACTVITTA(PVC AUSTRALIA L.4836.113,PAR,103570,PRETO 01/DOURADO 1334,0,-1025.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,103560,PRETO 01- CHUMBO 1321,3,-264.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,103560,PRETO 01-,4,-35.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,107848,IRON 1452- MARINHO 1128,1,-5.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,107848,IRON 1452- MARINHO 1128,2,-10.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,107848,IRON 1452- MARINHO 1128,3,-8.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,107848,IRON 1452- MARINHO 1128,4,-1.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,110119,CAMEL 1528- PRETO 01,1,-4.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,110119,CAMEL 1528- PRETO 01,2,-10.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,110119,CAMEL 1528- PRETO 01,3,-5.0,0.00000,nacional
Mini Fabrica - 69,192470,GASPEA LOC BAFFIN(ACT O/I 25)L.4935.108+SARJA 7030,PAR,110119,CAMEL 1528- PRETO 01,4,-1.0,0.00000,nacional
Mini Fabrica - 69,192552,PECA VISTA+IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4917.118,PAR,94023,PRETO 01/AREIA 1137,2,-305.0,0.00000,nacional
Mini Fabrica - 69,192552,PECA VISTA+IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4917.118,PAR,94023,PRETO 01/AREIA 1137,3,-164.0,0.00000,nacional
Mini Fabrica - 69,193828,PECA VISTA+LAT EXT IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4946.102,PAR,103675,PRETO 01/CHUMBO 1321- BRANCO 99,3,-138.0,0.00000,nacional
Mini Fabrica - 69,196153,PECA VISTA+LATERAL IMPRESSAO ACTVITTA(PVC AUSTRALIA)L.4946.101,PAR,107408,PRETO 01/CORAL NEON 957- CHUMBO 1321,3,-92.0,0.00000,nacional
Mini Fabrica - 69,196187,PECA ETIQ.+IMP.ACTVITTA(PVC AUSTRALIA S/FILME)L.4859.202,PAR,103640,PRETO 01/CINZA CLARO 1322,0,-240.0,0.00000,nacional
Mini Fabrica - 69,196484,PECA VISTA IMPRESSAO ACTVITTA (PVC AUSTRALIA)L.4853.108,PAR,104361,PRETO 01/TURQUESA 1315- VIOLETA 1221,4,-1.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,108833,PTO 01/PTO 01-CHUM.1321- CAM.778- CARAM.1202-BRANCO OFF 1132,1,-34.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,108833,PTO 01/PTO 01-CHUM.1321- CAM.778- CARAM.1202-BRANCO OFF 1132,2,-71.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,108833,PTO 01/PTO 01-CHUM.1321- CAM.778- CARAM.1202-BRANCO OFF 1132,3,-78.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,108833,PTO 01/PTO 01-CHUM.1321- CAM.778- CARAM.1202-BRANCO OFF 1132,4,-33.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109806,MARINHO1128/MAR.11 28-IRON1452- CAR.1202-BRCO OFF 1132,1,-4.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109806,MARINHO1128/MAR.11 28-IRON1452- CAR.1202-BRCO OFF 1132,2,-8.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109806,MARINHO1128/MAR.11 28-IRON1452- CAR.1202-BRCO OFF 1132,3,-8.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109806,MARINHO1128/MAR.11 28-IRON1452- CAR.1202-BRCO OFF 1132,4,-4.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109807,CAFE 569/CAFE 569-AREIA 1137-PRETO01- CARAM.1202-BCO OFF 1132,1,-6.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109807,CAFE 569/CAFE 569-AREIA 1137-PRETO01- CARAM.1202-BCO OFF 1132,2,-11.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109807,CAFE 569/CAFE 569-AREIA 1137-PRETO01- CARAM.1202-BCO OFF 1132,3,-11.0,0.00000,nacional
Mini Fabrica - 69,202019,LAT.+VISTA DIR/ESQ. IMPRES.ACTVITTA(NAP.FLOT RUST.NEO 1.4+VELVET)L.4917.119,PAR,109807,CAFE 569/CAFE 569-AREIA 1137-PRETO01- CARAM.1202-BCO OFF 1132,4,-4.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA,PAR,21007,BRANCO,2,-6.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA S/FILME)TAM2:37/40 TAM4:41/44 L.4935.111,PAR,21007,BRANCO 99/PRETO 01,4,-10.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA S/FILME)TAM2:37/40 TAM4:41/44 L.4935.111,PAR,93562,MARINHO 1128/BRANCO 99,2,-71.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA S/FILME)TAM2:37/40 TAM4:41/44 L.4935.111,PAR,93718,PRETO 01/BRANCO OFF 1132,2,-176.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA S/FILME)TAM2:37/40 TAM4:41/44 L.4935.111,PAR,93718,PRETO 01/BRANCO OFF 1132,4,-148.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA S/FILME)TAM2:37/40 TAM4:41/44 L.4935.111,PAR,108584,CAMEL 778/BRANCO OFF 1132,2,-108.0,0.00000,nacional
Mini Fabrica - 69,203227,ETIQ.+IMPR.ACTVITTA (AUSTRALIA S/FILME)TAM2:37/40 TAM4:41/44 L.4935.111,PAR,108584,CAMEL 778/BRANCO OFF 1132,4,-112.0,0.00000,nacional
