Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 6;197082;NAPA LEZARD EVORA PU 1.0 (MD O/I 26);;100196;AVELA 1248;;-4,0;4,0;12,5;4,0;0,0;100,0;nacional
Mini Fabrica - 6;202343;NAPA TRESSE BERLIM PU 1.2 (MD O/I 26)+VELVET+FORRO SOFT CONFORTO PU 0.7;;101978;AVELA 1248/CREME 516/BEGE 435;;-1,371;1,371;20,5;1,371;0,0;100,0;nacional
Mini Fabrica - 6;202378;NAPA ESSELENCE PU 0.9+SARJA 7030+SPO40G+ESP.PU2,5 D30+CACHAREL CONFORT;;16143;PRETO 01/PRETO 01/PRETO 01;;-21,812;21,812;0,0;0,0;21,812;0,0;nacional
Mini Fabrica - 6;202378;NAPA ESSELENCE PU 0.9+SARJA 7030+SPO40G+ESP.PU2,5 D30+CACHAREL CONFORT;;35738;BRANCO OFF 526/CRU 20/BEGE 435;;-10,392;10,392;0,0;0,0;10,392;0,0;nacional
Mini Fabrica - 6;202378;NAPA ESSELENCE PU 0.9+SARJA 7030+SPO40G+ESP.PU2,5 D30+CACHAREL CONFORT;;53629;NUDE 658/CRU 20/BEGE 435;;-9,832;9,832;0,0;0,0;9,832;0,0;nacional
Mini Fabrica - 6;202378;NAPA ESSELENCE PU 0.9+SARJA 7030+SPO40G+ESP.PU2,5 D30+CACHAREL CONFORT;;109577;AVELA 1248/CRU 20/BEGE 435;;-6,82;6,82;0,0;0,0;6,82;0,0;nacional
Mini Fabrica - 6;202643;NAPA SOFT MADRI PU 1.0 (V O/I 23/24)+BASE FLEX;;37331;BRANCO OFF 526/BISCOITO;;-10,245;10,245;19,0;10,245;0,0;100,0;nacional
Mini Fabrica - 6;202643;NAPA SOFT MADRI PU 1.0 (V O/I 23/24)+BASE FLEX;;107628;OLIVE 1469/BISCOITO;;-0,426;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 9;25567;AVESSO VELUR;;3;PRETO;;-58,182;58,182;0,0;0,0;58,182;0,0;nacional
Mini Fabrica - 9;25567;AVESSO VELUR;;23041;CARAMELO 310;;-0,756;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 9;25567;AVESSO VELUR;;35313;CREME 516;;-12,112;12,112;0,0;0,0;12,112;0,0;nacional
Mini Fabrica - 9;32468;NOBUCK NEW PU 0.8 NOSSA BASE(P/V 09/10);;15745;PRETO 01;;-2,102;2,102;0,0;0,0;2,102;0,0;nacional
Mini Fabrica - 9;44187;CACHAREL SOFT(B P/V 11/12)+ESP PU 1,5 D30+SPONL 40GR ANTI-MICROBIANO;;15745;PRETO 01;;-5,871;5,871;714,4;5,871;0,0;100,0;nacional
Mini Fabrica - 9;44187;CACHAREL SOFT(B P/V 11/12)+ESP PU 1,5 D30+SPONL 40GR ANTI-MICROBIANO;;35313;CREME 516;;-32,426;32,426;294,0;32,426;0,0;100,0;nacional
Mini Fabrica - 9;47527;FORRO FIORI (V P/V 12/13);;26926;CAMEL 408;;-9,083;9,083;0,0;0,0;9,083;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;15745;PRETO 01;;-6,277;6,277;0,0;0,0;6,277;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;16072;BRANCO 99;;-4,38;4,38;0,0;0,0;4,38;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;29452;BEGE 435;;-2,126;2,126;0,0;0,0;2,126;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;35312;BRANCO OFF 526;;-51,467;51,467;0,0;0,0;51,467;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;52531;NUDE 658;;-3,413;3,413;0,0;0,0;3,413;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;95373;CAMEL 1165;;-0,178;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;104068;MOCCA 1398;;-6,9;6,9;0,0;0,0;6,9;0,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;16072;BRANCO 99;;-4,748;4,748;0,0;0,0;4,748;0,0;nacional
