Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;15745;PRETO 01;;-6,2766;6,2766;53,0;6,2766;0,0;100,0;substituto
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;16072;BRANCO 99;;-4,38;4,38;30,0;4,38;0,0;100,0;substituto
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;29452;BEGE 435;;-2,1264;2,1264;18,0;2,1264;0,0;100,0;substituto
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;35312;BRANCO OFF;;-51,4672;51,4672;80,0;51,4672;0,0;100,0;substituto
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;95373;CAMEL 1165;;-0,1776;1,0;40,0;1,0;0,0;100,0;substituto
Mini Fabrica - 9;56427;PELICA PU 1.0 (V O/I 2014);;104068;MOCCA 1398;;-6,9;6,9;40,0;6,9;0,0;100,0;substituto
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;16072;BRANCO 99;;-4,7475;4,7475;50,0;4,7475;0,0;100,0;substituto
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;29452;BEGE 435;;-25,7126;25,7126;300,0;25,7126;0,0;100,0;substituto
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;35312;BRANCO OFF;;-14,33743;14,33743;26,0;14,33743;0,0;100,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;95373;CAMEL 1165;;-9,476;9,476;60,0;9,476;0,0;100,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;104068;MOCCA 1398;;-2,535;2,535;38,0;2,535;0,0;100,0;nacional
Mini Fabrica - 9;56577;FORRO MILANO PU 0.7(B O/I 2014);;107610;OLIVE 1469;;-3,32;3,32;46,0;3,32;0,0;100,0;nacional
Mini Fabrica - 9;63609;FORRO MILANO PU 0.7+PX25+FILME;;50;NATURAL;;-79,0055;79,0055;229,4;79,0055;0,0;100,0;nacional
Mini Fabrica - 9;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;15745;PRETO 01;;-15,26474;15,26474;783,0;15,26474;0,0;100,0;substituto
Mini Fabrica - 9;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;-19,19668;19,19668;120,0;19,19668;0,0;100,0;substituto
Mini Fabrica - 9;67244;NAPA TURIM PU 1.0 (B P/V 15/16);;107613;TERRACOTA;;-0,65142;1,0;26,0;1,0;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;18215;BRANCO 99/CR;;-17,9355;17,9355;54,3;17,9355;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;35324;BRANCO OFF;;-12,1376;12,1376;94,3;12,1376;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;101992;VERDE LUNA;;-8,5728;8,5728;28,4;8,5728;0,0;100,0;nacional
Mini Fabrica - 9;67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;105897;OSTRA 1431/C;;-6,2811;6,2811;47,8;6,2811;0,0;100,0;nacional
Mini Fabrica - 9;73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BAS;;96142;CAMEL 1165/BIS;;-26,1326;26,1326;58,5;26,1326;0,0;100,0;nacional
Mini Fabrica - 9;73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BAS;;107768;TERRACOTA;;-0,706;1,0;8,0;1,0;0,0;100,0;nacional
Mini Fabrica - 9;76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;41;PRATA;;-1,37386;1,37386;90,0;1,37386;0,0;100,0;substituto
Mini Fabrica - 9;84549;VERNIZ PREMIUM PU 1.0 (M/MD O/I 20;;95373;CAMEL 1165;;-2,6636;2,6636;14,5;2,6636;0,0;100,0;nacional
Mini Fabrica - 9;84629;VERNIZ PREMIUM PU 1.0 (M/MD O/I 20;;29498;BEGE 435/CRU;;-0,711;1,0;13,4;1,0;0,0;100,0;nacional
Mini Fabrica - 9;94157;NAPA TURIM PU 1.0+VELVET;;15787;PRETO 01/PRET;;-12,9267;12,9267;163,6;12,9267;0,0;100,0;nacional
Mini Fabrica - 9;94157;NAPA TURIM PU 1.0+VELVET;;95701;CAMEL 1165/CR;;-20,4044;20,4044;16,7;16,7;3,7043999999999997;81,84509223500814;nacional
Mini Fabrica - 9;94157;NAPA TURIM PU 1.0+VELVET;;101646;CHOCOLATE;;-11,5516;11,5516;114,6;11,5516;0,0;100,0;nacional
Mini Fabrica - 9;100051;PELICA PU 0.9+POLLINYLON/11HM2L;;30894;BRANCO 99/BR;;-17,6616;17,6616;39,1;17,6616;0,0;100,0;nacional
Mini Fabrica - 9;100051;PELICA PU 0.9+POLLINYLON/11HM2L;;55095;NUDE 658/BRAN;;-32,1782;32,1782;38,9;32,1782;0,0;100,0;nacional
Mini Fabrica - 9;100051;PELICA PU 0.9+POLLINYLON/11HM2L;;95864;CAMEL 1165/BR;;-27,9696;27,9696;39,0;27,9696;0,0;100,0;nacional
Mini Fabrica - 9;112008;NAPA PELE STRECH PU 1.0 (MD O/I 2;;29498;BEGE 435/CRU;;-1,35551;1,35551;30,0;1,35551;0,0;100,0;nacional
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (M;;18215;BRANCO 99/CR;;-0,76296;1,0;21,0;1,0;0,0;100,0;nacional
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (M;;35324;BRANCO OFF;;-96,2336;96,2336;71,8;71,8;24,4336;74,61011538589433;nacional
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (M;;84042;CREME 985/CR;;-21,72;21,72;49,0;21,72;0,0;100,0;nacional
