Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Qtd Mini Fabricas,Mini Fabricas Destino,Total Necessidade,Necessidade por Mini (deve|saldo|origem)
64664,FORRO FACHETE PVC 0.8 (B O/I 2015),,15745,PRETO 01,,2,Mini Fabrica - 20 | Mini Fabrica - 30,5.242,Mini Fabrica - 20: deve=-4.084 | saldo=0.00000 | origem=nacional || Mini Fabrica - 30: deve=-1.158 | saldo=0.00000 | origem=nacional
67244,NAPA TURIM PU 1.0 (B P/V 15/16),,83517,CREME 985,,3,Mini Fabrica - 20 | Mini Fabrica - 30 | Mini Fabrica - 50,31.92,Mini Fabrica - 20: deve=-18.402 | saldo=0.00000 | origem=nacional || Mini Fabrica - 30: deve=-4.956 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-8.562 | saldo=0.00000 | origem=nacional
82290,GLITER MINI SHINE(M/MK O/I 17),,41,PRATA,,2,Mini Fabrica - 20 | Mini Fabrica - 40,12.753,Mini Fabrica - 20: deve=-8.093 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-4.66 | saldo=0.00000 | origem=nacional
82290,GLITER MINI SHINE(M/MK O/I 17),,23146,OURO ROSADO,,2,Mini Fabrica - 20 | Mini Fabrica - 40,27.183,Mini Fabrica - 20: deve=-4.494 | saldo=0.00000 | origem=nacional || Mini Fabrica - 40: deve=-22.689 | saldo=0.00000 | origem=nacional
140345,NAPA BERLIM PU 1.2- IMPORTADO,,83508,CAFE 987,,2,Mini Fabrica - 20 | Mini Fabrica - 50,15.214,Mini Fabrica - 20: deve=-9.624 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-5.59 | saldo=0.00000 | origem=nacional
97488,PANO COURACA P/ REFORCO TX 007/B,,1,BRANCO,,2,Mini Fabrica - 26 | Mini Fabrica - 34,34.6,Mini Fabrica - 26: deve=-15.667 | saldo=0.00000 | origem=nacional || Mini Fabrica - 34: deve=-18.933 | saldo=0.00000 | origem=nacional
196437,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+SARJA 7030/50,,96662,MULTI CAMEL 1165/PRETO 01,,3,Mini Fabrica - 26 | Mini Fabrica - 30 | Mini Fabrica - 38,22.527,Mini Fabrica - 26: deve=-13.89 | saldo=0.00000 | origem=nacional || Mini Fabrica - 30: deve=-5.745 | saldo=0.00000 | origem=nacional || Mini Fabrica - 38: deve=-2.892 | saldo=0.00000 | origem=nacional
67244,NAPA TURIM PU 1.0 (B P/V 15/16),,105828,CORAL 1435,,2,Mini Fabrica - 30 | Mini Fabrica - 50,3.885,Mini Fabrica - 30: deve=-2.179 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-1.706 | saldo=0.00000 | origem=nacional
67244,NAPA TURIM PU 1.0 (B P/V 15/16),,107610,OLIVE 1469,,3,Mini Fabrica - 30 | Mini Fabrica - 38 | Mini Fabrica - 50,7.347,Mini Fabrica - 30: deve=-4.493 | saldo=0.00000 | origem=nacional || Mini Fabrica - 38: deve=-0.479 | saldo=0.00000 | origem=nacional || Mini Fabrica - 50: deve=-2.375 | saldo=0.00000 | origem=nacional
183768,NAPA GARDA PU 1.0 + SARJA 7030/40 0.40,,35324,BRANCO OFF 526/CRU 20,,2,Mini Fabrica - 30 | Mini Fabrica - 38,100.041,Mini Fabrica - 30: deve=-97.751 | saldo=0.00000 | origem=nacional || Mini Fabrica - 38: deve=-2.29 | saldo=0.00000 | origem=nacional
184004,NAPA GARDA PU 1.0 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO MILANO,,101878,CHOCOLATE 1271/PRETO 01/PRETO 01,,2,Mini Fabrica - 30 | Mini Fabrica - 43,18.973,Mini Fabrica - 30: deve=-14.392 | saldo=0.00000 | origem=nacional || Mini Fabrica - 43: deve=-4.581 | saldo=0.00000 | origem=nacional
